'sample #',MLII,V5
629209,958,1007
629210,956,1008
629211,960,1009
629212,961,1010
629213,962,1007
629214,962,1005
629215,959,1006
629216,958,1006
629217,959,1003
629218,959,1006
629219,958,1005
629220,959,1004
629221,956,1003
629222,953,1003
629223,957,1005
629224,959,1006
629225,956,1005
629226,955,1006
629227,953,1004
629228,955,1006
629229,958,1004
629230,957,1007
629231,961,1005
629232,960,1005
629233,958,1003
629234,958,999
629235,958,1002
629236,959,1002
629237,960,1004
629238,958,1003
629239,956,1002
629240,953,999
629241,960,997
629242,963,992
629243,964,992
629244,962,993
629245,959,991
629246,957,988
629247,955,987
629248,957,986
629249,953,984
629250,952,984
629251,952,981
629252,950,981
629253,948,982
629254,950,981
629255,950,976
629256,952,973
629257,951,969
629258,947,972
629259,945,975
629260,947,977
629261,948,977
629262,948,973
629263,947,972
629264,945,973
629265,949,976
629266,951,976
629267,952,980
629268,950,980
629269,951,980
629270,952,987
629271,958,988
629272,960,989
629273,958,988
629274,958,987
629275,956,986
629276,952,986
629277,950,992
629278,950,995
629279,952,996
629280,955,996
629281,958,997
629282,958,997
629283,962,998
629284,962,1001
629285,960,1002
629286,960,1002
629287,958,1001
629288,957,1002
629289,962,1004
629290,964,1003
629291,965,1004
629292,963,1002
629293,962,997
629294,958,998
629295,957,1000
629296,961,1005
629297,967,1004
629298,967,1006
629299,966,1001
629300,964,1001
629301,962,1005
629302,964,1009
629303,964,1008
629304,963,1006
629305,962,1005
629306,959,1002
629307,962,1002
629308,964,1005
629309,966,1003
629310,963,1001
629311,963,1001
629312,961,1003
629313,960,1004
629314,960,1005
629315,962,1005
629316,962,1000
629317,963,997
629318,962,999
629319,961,1003
629320,963,1005
629321,963,1006
629322,967,1004
629323,967,1001
629324,963,1002
629325,963,1007
629326,966,1008
629327,967,1006
629328,965,1005
629329,963,1003
629330,959,1002
629331,962,1002
629332,963,1003
629333,966,1001
629334,962,1000
629335,961,1001
629336,959,1002
629337,959,1006
629338,961,1005
629339,962,1004
629340,963,1000
629341,960,1000
629342,960,998
629343,960,999
629344,961,998
629345,958,999
629346,961,1000
629347,961,999
629348,957,1000
629349,962,998
629350,963,1000
629351,965,1001
629352,965,999
629353,964,997
629354,960,997
629355,961,999
629356,960,1000
629357,963,999
629358,961,999
629359,959,997
629360,957,999
629361,959,1001
629362,960,1001
629363,962,999
629364,962,1001
629365,960,999
629366,958,1001
629367,957,1000
629368,958,1002
629369,960,998
629370,958,998
629371,957,995
629372,958,996
629373,958,1000
629374,961,1002
629375,959,1002
629376,960,1000
629377,960,999
629378,960,999
629379,958,999
629380,960,1002
629381,961,1001
629382,961,1001
629383,961,998
629384,959,1000
629385,958,1002
629386,957,1000
629387,959,1000
629388,959,1001
629389,957,996
629390,955,995
629391,957,999
629392,959,1001
629393,960,1003
629394,961,1001
629395,959,999
629396,960,996
629397,958,998
629398,959,998
629399,960,1001
629400,961,1002
629401,958,1000
629402,954,999
629403,959,1001
629404,961,1003
629405,964,1002
629406,963,1001
629407,962,999
629408,957,1001
629409,955,1000
629410,955,1002
629411,959,1001
629412,960,1001
629413,960,1001
629414,959,999
629415,962,1003
629416,962,1002
629417,963,1002
629418,965,998
629419,963,995
629420,962,996
629421,964,1000
629422,968,1003
629423,971,1002
629424,974,1003
629425,978,1002
629426,977,1004
629427,978,1004
629428,982,1008
629429,984,1010
629430,987,1010
629431,984,1006
629432,984,1004
629433,983,1004
629434,983,1008
629435,982,1009
629436,982,1010
629437,980,1009
629438,981,1010
629439,984,1010
629440,984,1013
629441,983,1012
629442,979,1011
629443,979,1006
629444,978,1005
629445,984,1006
629446,984,1007
629447,982,1003
629448,976,1005
629449,967,1003
629450,966,1003
629451,967,1004
629452,967,1004
629453,966,1002
629454,964,1001
629455,960,999
629456,959,997
629457,958,1001
629458,958,1002
629459,963,1001
629460,960,999
629461,958,997
629462,956,996
629463,954,998
629464,957,1001
629465,958,999
629466,957,996
629467,957,996
629468,954,995
629469,955,995
629470,958,999
629471,958,1000
629472,957,999
629473,957,996
629474,953,993
629475,954,990
629476,954,991
629477,952,985
629478,946,979
629479,938,972
629480,932,971
629481,926,978
629482,923,1003
629483,918,1030
629484,928,1055
629485,949,1067
629486,975,1078
629487,1005,1091
629488,1038,1104
629489,1074,1119
629490,1114,1130
629491,1157,1142
629492,1192,1161
629493,1213,1182
629494,1233,1194
629495,1251,1175
629496,1264,1111
629497,1256,1028
629498,1209,975
629499,1125,962
629500,1035,974
629501,968,984
629502,934,984
629503,929,984
629504,934,988
629505,944,992
629506,951,992
629507,953,993
629508,951,990
629509,949,991
629510,947,989
629511,950,990
629512,954,992
629513,952,991
629514,949,991
629515,945,988
629516,942,988
629517,943,991
629518,943,991
629519,947,990
629520,944,989
629521,945,987
629522,940,988
629523,942,988
629524,941,989
629525,942,987
629526,942,988
