sample #',MLII,V5
6566,950,971
6567,951,969
6568,946,970
6569,947,971
6570,949,973
6571,952,973
6572,948,971
6573,946,969
6574,946,969
6575,947,971
6576,949,974
6577,949,972
6578,949,970
6579,948,968
6580,946,968
6581,948,969
6582,951,972
6583,948,971
6584,948,968
6585,947,967
6586,946,967
6587,946,971
6588,948,971
6589,948,969
6590,947,965
6591,945,964
6592,944,964
6593,947,967
6594,948,969
6595,952,965
6596,950,962
6597,949,963
6598,950,960
6599,947,963
6600,950,963
6601,951,962
6602,952,961
6603,951,957
6604,949,957
6605,948,957
6606,951,959
6607,950,957
6608,952,954
6609,950,950
6610,945,948
6611,947,950
6612,947,952
6613,946,948
6614,946,947
6615,946,944
6616,942,942
6617,946,943
6618,948,945
6619,946,944
6620,948,940
6621,945,938
6622,943,938
6623,943,938
6624,945,943
6625,946,941
6626,946,940
6627,942,939
6628,941,941
6629,946,942
6630,948,948
6631,946,948
6632,947,949
6633,946,948
6634,946,950
6635,948,955
6636,952,962
6637,953,960
6638,955,964
6639,956,963
6640,955,964
6641,958,966
6642,960,970
6643,961,969
6644,964,969
6645,963,969
6646,960,970
6647,964,975
6648,969,975
6649,969,976
6650,969,975
6651,969,973
6652,968,970
6653,967,971
6654,969,974
6655,969,974
6656,968,975
6657,965,973
6658,963,973
6659,963,973
6660,964,978
6661,966,975
6662,967,970
6663,965,969
6664,962,970
6665,964,973
6666,964,975
6667,965,972
6668,964,972
6669,963,970
6670,962,969
6671,961,971
6672,963,975
6673,962,973
6674,962,970
6675,961,971
6676,960,968
6677,963,970
6678,966,972
6679,967,971
6680,965,969
6681,964,969
6682,961,969
6683,962,967
6684,961,972
6685,960,969
6686,960,967
6687,958,966
6688,956,966
6689,960,969
6690,962,970
6691,960,967
6692,960,966
6693,958,963
6694,955,963
6695,956,965
6696,958,967
6697,958,965
6698,960,966
6699,958,963
6700,959,964
6701,959,964
6702,960,965
6703,961,965
6704,960,966
6705,958,965
6706,955,965
6707,960,966
6708,961,969
6709,961,967
6710,960,963
6711,959,963
6712,957,963
6713,956,965
6714,958,967
6715,959,969
6716,961,969
6717,957,967
6718,955,965
6719,956,966
6720,959,969
6721,960,967
6722,958,963
6723,955,964
6724,956,962
6725,958,965
6726,956,970
6727,959,966
6728,961,968
6729,962,965
6730,959,964
6731,961,965
6732,958,967
6733,961,967
6734,960,966
6735,959,963
6736,958,965
6737,958,967
6738,961,968
6739,962,967
6740,963,962
6741,962,961
6742,962,962
6743,964,964
6744,967,965
6745,969,965
6746,970,965
6747,970,964
6748,968,962
6749,971,966
6750,973,968
6751,974,970
6752,975,970
6753,974,970
6754,975,971
6755,979,974
6756,981,974
6757,980,973
6758,980,971
6759,978,972
6760,977,975
6761,976,977
6762,976,979
6763,978,974
6764,979,974
6765,976,971
6766,970,971
6767,974,975
6768,973,976
6769,977,976
6770,979,974
6771,981,969
6772,976,967
6773,972,968
6774,969,971
6775,967,970
6776,961,969
6777,960,966
6778,955,964
6779,954,967
6780,954,967
6781,952,965
6782,951,965
6783,953,964
6784,952,963
6785,952,967
6786,952,971
6787,954,965
6788,955,962
6789,953,960
6790,949,959
6791,951,961
6792,954,964
6793,955,966
6794,956,964
6795,957,961
6796,953,964
6797,951,963
6798,954,966
6799,955,967
6800,955,964
6801,953,964
6802,950,965
6803,950,968
6804,951,965
6805,952,960
6806,947,952
6807,941,945
6808,933,947
6809,931,945
6810,932,940
6811,929,935
6812,925,939
6813,913,950
6814,907,972
6815,914,996
6816,932,1010
6817,955,1022
6818,983,1037
6819,1016,1054
6820,1062,1081
6821,1115,1105
6822,1160,1109
6823,1192,1075
6824,1200,1011
6825,1169,954
6826,1104,930
6827,1024,936
6828,968,946
6829,937,952
6830,922,954
6831,927,954
6832,932,952
6833,938,954
6834,943,956
6835,942,957
6836,942,957
6837,941,957
6838,943,957
6839,941,962
6840,945,958
6841,946,956
6842,945,955
6843,943,953
6844,942,957
6845,942,958
6846,945,961
6847,946,957
6848,944,957
6849,944,957
6850,945,956
6851,944,961
6852,947,963
6853,947,963
6854,945,962
6855,942,961
6856,940,960
6857,942,960
6858,944,963
6859,946,959
6860,942,958
6861,941,958
6862,939,959
6863,939,959
6864,943,960
6865,944,957
6866,939,958
6867,941,955
6868,941,958
6869,942,958
6870,943,960
6871,944,958
6872,942,957
6873,943,957
6874,941,958
6875,942,961
6876,944,961
6877,945,960
6878,944,960
6879,943,957
6880,943,955
6881,941,956
6882,943,956
6883,944,958
6884,943,957
6885,942,954
6886,940,953
6887,941,957
6888,944,959
6889,945,954
6890,944,953
6891,941,952
6892,940,951
6893,942,953
6894,944,953
6895,945,953
6896,944,950
6897,941,950
6898,942,949
6899,941,947
6900,941,950
6901,943,945
6902,942,944
6903,940,943
6904,936,942
6905,938,938
6906,938,940
6907,939,936
6908,937,934
6909,937,934
6910,936,932
6911,934,932
6912,934,931
6913,934,929
6914,931,929
6915,930,926
6916,927,924
6917,931,929
6918,933,930
6919,934,930
6920,934,932
6921,930,930
6922,927,930
6923,932,934
6924,935,939
6925,937,941
6926,939,947
6927,938,945
6928,938,949
6929,941,952
6930,947,953
6931,951,957
6932,949,958
6933,952,959
6934,952,960
6935,954,962
6936,957,965
6937,957,967
6938,959,966
6939,957,964
6940,957,962
6941,957,966
6942,962,969
6943,962,971
6944,961,968
6945,961,966
6946,960,966
6947,961,969
6948,965,970
6949,965,970
6950,964,970
6951,963,967
6952,958,965
6953,959,967
6954,961,970
6955,959,967
6956,960,970
6957,958,967
6958,957,967
6959,957,968
6960,958,971
6961,963,969
6962,959,968
6963,959,966
6964,959,967
6965,959,966
6966,962,971
6967,963,970
6968,961,968
6969,959,967
6970,958,966
6971,959,968
6972,959,967
6973,956,967
6974,956,965
6975,956,963
6976,955,961
6977,956,965
6978,959,967
6979,958,967
6980,960,964
6981,959,963
6982,956,961
6983,956,964
6984,957,965
6985,956,966
6986,954,964
6987,953,964
6988,952,961
6989,954,963
6990,955,966
6991,955,965
6992,952,965
6993,953,963
6994,950,962
6995,951,964
6996,954,968
6997,952,967
6998,954,963
6999,952,966
7000,950,965
7001,952,970
7002,953,970
7003,955,966
7004,955,968
7005,954,969
7006,954,967
7007,955,968
7008,957,971
7009,958,968
7010,956,968
7011,955,967
7012,954,967
7013,955,968
7014,955,972
7015,956,970
7016,956,971
7017,955,968
7018,952,968
7019,954,968
7020,955,970
7021,957,973
7022,955,971
7023,955,968
7024,953,968
7025,955,970
7026,957,971
7027,959,971
7028,960,969
7029,963,969
7030,963,971
7031,964,974
7032,967,978
7033,968,975
7034,971,974
7035,969,973
7036,970,974
7037,975,978
7038,976,982
7039,978,983
7040,977,981
7041,978,978
7042,975,980
7043,975,980
7044,976,985
7045,974,986
7046,973,984
7047,973,984
7048,970,985
7049,971,984
7050,971,988
7051,971,982
7052,973,983
7053,974,982
7054,977,980
7055,978,982
7056,974,981
7057,972,979
7058,968,980
7059,963,979
7060,956,976
7061,958,979
7062,957,980
7063,958,979
7064,955,979
7065,954,975
7066,952,975
7067,952,977
7068,952,977
7069,951,975
7070,951,974
7071,953,974
7072,951,975
7073,952,977
7074,952,978
7075,952,978
7076,953,976
7077,949,974
7078,949,975
7079,951,975
7080,952,978
7081,950,976
7082,952,975
7083,948,975
7084,946,973
7085,947,977
7086,947,978
7087,951,976
7088,949,974
7089,949,970
7090,944,966
7091,945,962
7092,938,959
7093,932,951
7094,928,948
7095,922,952
7096,910,972
7097,907,1001
7098,921,1026
7099,947,1044
7100,976,1063
7101,1007,1082
7102,1049,1108
7103,1105,1133
7104,1159,1147
7105,1197,1125
7106,1211,1068
7107,1192,998
7108,1135,954
7109,1052,951
7110,984,963
7111,943,967
7112,927,968
7113,927,969
7114,934,971
7115,947,971
7116,947,973
7117,947,972
7118,946,970
7119,947,970
7120,945,969
7121,946,972
7122,947,975
7123,947,974
7124,946,971
7125,945,969
7126,946,969
7127,946,972
7128,945,974
7129,948,975
7130,947,974
7131,946,971
7132,943,972
7133,944,972
7134,945,974
7135,946,973
7136,946,972
7137,946,973
7138,943,973
7139,949,975
7140,946,976
7141,948,975
7142,946,973
7143,947,971
7144,946,973
7145,947,976
7146,950,978
7147,951,978
7148,951,978
7149,948,974
7150,946,974
7151,946,977
7152,947,975
7153,949,977
7154,948,977
7155,946,971
7156,946,975
7157,945,976
7158,949,979
7159,947,975
7160,947,977
7161,944,974
7162,946,972
7163,947,974
7164,947,978
7165,949,976
7166,948,976
7167,945,974
7168,943,972
7169,947,973
7170,948,974
7171,949,971
7172,948,972
7173,948,968
7174,946,968
7175,946,970
7176,948,970
7177,953,969
7178,953,967
7179,950,963
7180,947,964
7181,949,963
7182,947,966
7183,949,963
7184,946,960
7185,946,956
7186,944,954
7187,944,957
7188,947,958
7189,946,955
7190,946,951
7191,943,948
7192,941,947
7193,943,947
7194,943,950
7195,943,947
7196,942,944
7197,939,944
7198,938,940
7199,940,944
7200,943,946
7201,942,945
7202,942,946
7203,942,945
7204,942,949
7205,944,953
7206,947,958
7207,950,959
7208,949,960
7209,952,963
7210,951,968
7211,953,971
7212,957,975
7213,961,977
7214,961,978
7215,962,977
7216,961,980
7217,965,983
7218,966,986
7219,970,988
7220,967,986
7221,966,985
7222,966,986
7223,968,987
7224,969,990
7225,973,990
7226,970,987
7227,969,987
7228,969,987
7229,968,988
7230,973,990
7231,975,988
7232,972,988
7233,973,986
7234,971,987
7235,972,988
7236,972,992
7237,976,992
7238,974,989
7239,972,987
7240,969,985
7241,971,986
7242,972,989
7243,972,988
7244,967,984
7245,967,985
7246,968,985
7247,967,988
7248,967,988
7249,971,988
